permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,total_new_add_footage,total_job_valuation,dd,legal_description,lat,lng
2015-044995 BP,R- 101 Single Family Houses,New,11212 PLAYERS PATH,4/21/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2829,72339.39,1,LOT 17 BLK B LEGENDS WAY SEC 1,30.12941547,-97.77641727
2015-142017 BP,R- 101 Single Family Houses,New,5712 BOROS DR,11/25/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3015,115000,1,LOT 11 BLK C LEGENDS WAY SEC 2,30.12949456,-97.77528278
2015-036432 BP,R- 101 Single Family Houses,New,11205 PLAYERS PATH,4/1/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2409,77033.39,1,LOT 7 BLK C LEGENDS WAY SEC 1,30.12961317,-97.77576052
2015-037127 BP,R- 101 Single Family Houses,New,11208 PLAYERS PATH,4/7/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,3806,89953.29,1,LOT 18 BLK B LEGENDS WAY SEC 1,30.129624,-97.77645844
2015-036446 BP,R- 101 Single Family Houses,New,11201 PLAYERS PATH,4/1/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,3215,76553.51,1,LOT 6 BLK C LEGENDS WAY SEC 1,30.12978025,-97.77575884
2015-046588 BP,R- 101 Single Family Houses,New,11204 PLAYERS PATH,4/23/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2829,72339.39,1,LOT 19 BLK B LEGENDS WAY SEC 1,30.1298124,-97.77644796
2015-037066 BP,R- 101 Single Family Houses,New,11117 PLAYERS PATH,4/3/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,3806,89953.29,1,LOT 5 BLK C LEGENDS WAY SEC 1,30.12993941,-97.77571893
2015-037163 BP,R- 101 Single Family Houses,New,11200 PLAYERS PATH,4/2/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2409,77033.39,1,LOT 20 BLK B LEGENDS WAY SEC 1,30.12997888,-97.7764161
2015-036934 BP,R- 101 Single Family Houses,New,11113 PLAYERS PATH,4/3/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,3215,76553.51,1,LOT 4 BLK C LEGENDS WAY SEC 1,30.13009629,-97.77568457
2015-036500 BP,R- 101 Single Family Houses,New,11116 PLAYERS PATH,4/1/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,3215,76553.51,1,LOT 21 BLK B LEGENDS WAY SEC 1,30.13018609,-97.77639139
2015-036396 BP,R- 101 Single Family Houses,New,11109 PLAYERS PATH,4/1/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2409,77033.39,1,LOT 3 BLK C LEGENDS WAY SEC 1,30.13026233,-97.77563074
2015-042323 BP,R- 101 Single Family Houses,New,11112 PLAYERS PATH,4/14/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT** ***Revision 08/13/15 - swapping kitchen and great room locations. Foot print does not change.***",Active,2409,77033.39,1,LOT 22 BLK B LEGENDS WAY SEC 1,30.13036806,-97.77629869
2015-044945 BP,R- 101 Single Family Houses,New,11105 PLAYERS PATH,4/20/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2829,72339.39,1,LOT 2 BLK C LEGENDS WAY SEC 1,30.13040375,-97.77553911
2015-044613 BP,R- 101 Single Family Houses,New,11108 PLAYERS PATH,4/17/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2829,72339.39,1,LOT 23 BLK B LEGENDS WAY SEC 1,30.1305289,-97.77622303
2015-036887 BP,R- 101 Single Family Houses,New,11101 PLAYERS PATH,4/3/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2409,77033.39,1,LOT 1 BLK C LEGENDS WAY SEC 1,30.13057635,-97.77543413
2015-036170 BP,R- 101 Single Family Houses,New,11104 PLAYERS PATH,4/1/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2409,77033.39,1,LOT 24 BLK B LEGENDS WAY SEC 1,30.13067215,-97.77610388
2015-042790 BP,R- 101 Single Family Houses,New,11100 PLAYERS PATH,4/17/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,3206,78597.22,1,LOT 25 BLK B LEGENDS WAY SEC 1,30.13082738,-97.77598717
2015-142699 BP,R- 101 Single Family Houses,New,11101 MICKELSON DR,12/1/2015,"New 1-story single-family residence, attached garage, covered entry porch.  **VOL BUILD PROJECT** ",Active,2409,100000,1,LOT 1 BLK B LEGENDS WAY SEC 1,30.13098002,-97.77633744
2015-039631 BP,C- 329 Com Structures Other Than Bldg,New,9201 CIRCUIT OF THE AMERICAS BLVD,4/8/2015,Temporary Private Stage for Ducati at Motto GP.,Final,1092,3000,0,,30.13563998,-97.64405176
2015-066423 BP,C- 329 Com Structures Other Than Bldg,New,9201 CIRCUIT OF THE AMERICAS BLVD,6/3/2015,Install two sets of bleachers 7 rows by 36 ft equals 468 sqft and the 10 row by 54 ft equals 1080 sqft. The total sqft is 1548. ***TEMPORARY STRUCTURE***,Final,1548,15000,0,,30.13563998,-97.64405176
2015-076984 BP,C- 329 Com Structures Other Than Bldg,New,9201 CIRCUIT OF THE AMERICAS BLVD,6/25/2015,Temporary Seating/ Bleachers for Willie Nelson Concert.,Final,12800,10000,0,,30.13563998,-97.64405176
2015-033439 BP,R- 101 Single Family Houses,New,6109 MARY LEWIS DR,3/30/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Withdrawn,2262,90801,1,LOT 1 BLK C1 BRADSHAW CROSSING SUBD SEC 7,30.13579562,-97.76627298
2015-039612 BP,R- 101 Single Family Houses,New,6109 MARY LEWIS DR,4/8/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2807,90801,1,LOT 1 BLK C1 BRADSHAW CROSSING SUBD SEC 7,30.13579562,-97.76627298
2015-046064 BP,R- 101 Single Family Houses,New,6029 MARY LEWIS DR,4/22/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,1812,84010,1,LOT 5 BLK C1 BRADSHAW CROSSING SUBD SEC 7,30.13605551,-97.76678088
2015-062708 BP,R- 101 Single Family Houses,New,6025 MARY LEWIS DR,5/29/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2658,105214,1,LOT 6 BLK C1 BRADSHAW CROSSING SUBD SEC 7,30.13612724,-97.76690532
2015-011809 BP,R- 101 Single Family Houses,New,10525 CRESCENDO LN,2/9/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Final,2808,76800,1,LOT 22 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13615198,-97.76622948
2015-107818 BP,R- 101 Single Family Houses,New,6017 MARY LEWIS DR,9/8/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2274,96500,1,LOT 8 BLK C1 BRADSHAW CROSSING SUBD SEC 7,30.13625161,-97.76715471
2015-071441 BP,R- 101 Single Family Houses,New,6013 MARY LEWIS DR,6/12/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **SMART HOUSE** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2638,105214,1,LOT 9 BLK C1 BRADSHAW CROSSING SUBD SEC 7,30.13634416,-97.76724564
2015-021525 BP,R- 101 Single Family Houses,New,6028 MARY LEWIS DR,2/27/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2679,101657,1,LOT 6 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.13646182,-97.76645718
2015-129893 BP,R- 101 Single Family Houses,New,10609 SUNDAY DR,11/2/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.  **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2036,115000,1,LOT 11 BLK C1 BRADSHAW CROSSING SUBD SEC 7,30.13652747,-97.76753806
2015-107819 BP,R- 101 Single Family Houses,New,10509 CRESCENDO LN,9/8/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **SMART HOUSE** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2047,96000,1,LOT 19 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13655924,-97.76596152
2015-138641 BP,R- 101 Single Family Houses,New,10601 SUNDAY DR,11/20/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.  **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,3289,120000,1,LOT 10 BLK C1 BRADSHAW CROSSING SUBD SEC 7,30.13663248,-97.76741716
2015-033442 BP,R- 101 Single Family Houses,New,6008 MARY LEWIS DR,4/8/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2275,97091,1,LOT 10 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.13675146,-97.76697136
2015-035665 BP,R- 101 Single Family Houses,New,10508 CRESCENDO LN,3/31/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2282,90801,1,LOT 3 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.13683508,-97.76626049
2015-019153 BP,R- 101 Single Family Houses,New,6000 MARY LEWIS DR,2/25/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Final,2808,76565,1,LOT 11 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.13688696,-97.76706115
2015-142504 BP,R- 101 Single Family Houses,New,10604 SUNDAY DR,12/1/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2915,92000,1,LOT 4 BLK D BRADSHAW CROSSING SUBD SEC 7,30.13692336,-97.76777502
2015-079907 BP,R- 101 Single Family Houses,New,10513 SUNDAY DR,7/2/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2946,114056,1,LOT 12 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.13692628,-97.76675588
2015-064351 BP,R- 101 Single Family Houses,New,10504 CRESCENDO LN,6/1/2015,"New 2-story single-family residence, attached garage, covered porch and patio.**VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**",Active,2567,89538,1,LOT 2 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.13693648,-97.76619737
2015-071407 BP,R- 101 Single Family Houses,New,10600 SUNDAY DR,6/12/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **SMART HOUSE** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2277,97091,1,LOT 3 BLK D BRADSHAW CROSSING SUBD SEC 7,30.13700206,-97.76765207
2015-083135 BP,R- 101 Single Family Houses,New,10509 SUNDAY DR,7/10/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2791,102000,1,LOT 13 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.13702691,-97.76661637
2015-067793 BP,R- 101 Single Family Houses,New,10500 CRESCENDO LN,6/5/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2262,85117,1,LOT 1 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.13705008,-97.76614766
2015-141252 BP,R- 101 Single Family Houses,New,10404 CRESCENDO LN,12/15/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2036,90000,1,LOT 54 BLK M BRADSHAW CROSSING SUBD SEC 7,30.1370832,-97.7657936
2015-149828 BP,R- 101 Single Family Houses,New,10409 CRESCENDO LN,12/16/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3288,92000,1,LOT 9 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.1370832,-97.7657936
2015-150620 BP,R- 101 Single Family Houses,New,10408 CRESCENDO LN,12/22/2015,"***12/22/15 need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2915,90000,1,LOT 55 BLK M BRADSHAW CROSSING SUBD SEC 7,30.1370832,-97.7657936
2015-149805 BP,R- 101 Single Family Houses,New,10305 CRESCENDO LN,12/31/2015,"***12/16/15 need acknowledgement of expired ***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2946,102000,1,LOT 2 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.1370832,-97.7657936
2015-022283 BP,R- 101 Single Family Houses,New,10505 SUNDAY DR,2/27/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Final,2679,101657,1,LOT 14 BLK F1 BRADSHAW CROSSING SUBD SEC 7,30.1371134,-97.76654565
2015-149842 BP,R- 101 Single Family Houses,New,10608 SUNDAY DR,12/17/2015,"**NOT VOLUME BUILDER** **SMART HOUSE** New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3283,92000,1,LOT 5 BLK D BRADSHAW CROSSING SUBD SEC 7,30.137175,-97.7668982
2015-152700 BP,R- 101 Single Family Houses,New,10524 SUNDAY DR,12/28/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2656,93500,1,LOT 2 BLK D BRADSHAW CROSSING SUBD SEC 7,30.137175,-97.7668982
2015-129868 BP,R- 101 Single Family Houses,New,10425 CRESCENDO LN,11/2/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,2268,95000,1,LOT 13 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13724893,-97.765449
2015-107783 BP,R- 101 Single Family Houses,New,10421 CRESCENDO LN,9/8/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **SMART HOUSE** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2254,95000,1,LOT 12 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13735187,-97.76536929
2015-139335 BP,R- 101 Single Family Houses,New,10424 CRESCENDO LN,11/24/2015,"***11/20/15 need water taps***New 1-story single-family residence, attached garage, covered entry porch and patio.  **SMART HOUSE**  **NOT VOLUME BUILDER**",Active,2612,91000,1,LOT 59 BLK M BRADSHAW CROSSING SUBD SEC 7,30.137435,-97.76585122
2015-135688 BP,R- 101 Single Family Houses,New,10417 CRESCENDO LN,11/24/2015,"***11/13/15 Need water taps**NOT VOLUME BUILDER**  **SMART HOUSE**New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2679,91000,1,LOT 11 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13745635,-97.76528842
2015-129910 BP,R- 101 Single Family Houses,New,10416 CRESCENDO LN,11/2/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,2915,101000,1,LOT 57 BLK M BRADSHAW CROSSING SUBD SEC 7,30.13764655,-97.76568629
2015-068362 BP,R- 101 Single Family Houses,New,10412 CRESCENDO LN,6/8/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2248,97091,1,LOT 56 BLK M BRADSHAW CROSSING SUBD SEC 7,30.13775027,-97.76562036
2015-031478 BP,R- 101 Single Family Houses,New,10405 CRESCENDO LN,3/30/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2658,101422,1,LOT 8 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13775686,-97.76497688
2015-068386 BP,R- 101 Single Family Houses,New,10401 CRESCENDO LN,6/8/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2262,97091,1,LOT 7 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13786747,-97.76489704
2015-068458 BP,R- 101 Single Family Houses,New,10321 CRESCENDO LN,6/8/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **SMART HOUSE** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2282,96780,1,LOT 6 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13797918,-97.76483283
2015-033806 BP,C- 329 Com Structures Other Than Bldg,New,1900 ONION CREEK PKWY,3/27/2015,New Swimming Pool for Multi Family Apts,Final,2647,40000,0,LOT 1A3 DOUBLE CREEK VILLAGE BLK B RESUB OF LT 1 BLK B RESUB LT 1A (1-D-1),30.13802174,-97.80001215
2015-096615 BP,C- 329 Com Structures Other Than Bldg,New,1900 ONION CREEK PKWY,8/11/2015,New Pavillion to Multi Family to Pool Area,Final,600,10000,0,LOT 1A3 DOUBLE CREEK VILLAGE BLK B RESUB OF LT 1 BLK B RESUB LT 1A (1-D-1),30.13802174,-97.80001215
2015-139341 BP,R- 101 Single Family Houses,New,10309 CRESCENDO LN,11/20/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,2262,92000,1,LOT 3 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.1383039,-97.76459623
2015-144116 BP,R- 101 Single Family Houses,New,10312 CRESCENDO LN,12/10/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2262,90000,1,LOT 49 BLK M BRADSHAW CROSSING SUBD SEC 7,30.1384881,-97.76509056
2015-068400 BP,R- 101 Single Family Houses,New,10301 CRESCENDO LN,6/8/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **SMART HOUSE** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2262,97980,1,LOT 1 BLK G1 BRADSHAW CROSSING SUBD SEC 7,30.13853725,-97.76444719
2015-068429 BP,R- 101 Single Family Houses,New,10245 CRESCENDO LN,6/8/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** **SMART HOUSE** **RESOLUTION #20071129-100 WAIVES FEES FOR THIS SMART HOUSING PROJECT**.",Active,2587,96780,1,LOT 21 BLK R BRADSHAW CROSSING SUBD SEC 7,30.13885945,-97.76427142
2015-110651 BP,R- 101 Single Family Houses,New,10248 CRESCENDO LN,9/14/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,2946,96500,1,LOT 45 BLK M BRADSHAW CROSSING SUBD SEC 7,30.13890462,-97.76475949
2015-103978 BP,C- 327 Stores & Customer Services,New,11206 S IH 35 SVRD SB,9/1/2015,New Construction of Convience Store,Active,4853,841151,1,LOT 1A1 DOUBLE CREEK VILLAGE BLK B RESUB OF LT 1 BLK B RESUB LT 1A (1-D-1),30.13939309,-97.79768298
2015-103979 BP,C- 327 Stores & Customer Services,New,11206 S IH 35 SVRD SB,9/1/2015,New Construction of Canopy,Active,5670,220430,1,LOT 1A1 DOUBLE CREEK VILLAGE BLK B RESUB OF LT 1 BLK B RESUB LT 1A (1-D-1),30.13939309,-97.79768298
2015-108217 BP,R- 438 Residential Retaining Wall,New,10108 CRESCENDO LN,9/8/2015,New retaining wall to cross 4 total properties.,Active,,18342,,LOT 1 BLK N BRADSHAW CROSSING SUBD SEC 11,30.14066777,-97.76427804
2015-064613 BP,R- 101 Single Family Houses,New,13016 BISMARK DR,6/1/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,2886,238607,1,,30.14113347,-97.85024771
2015-026634 BP,R- 101 Single Family Houses,New,12916 BISMARK DR,3/19/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Final,2911,229549,1,,30.14119755,-97.85121987
2015-045413 BP,R- 101 Single Family Houses,New,13100 BISMARK DR,4/21/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3089,232989,1,,30.14151381,-97.84933765
2015-058513 BP,R- 101 Single Family Houses,New,13104 BISMARK DR,5/18/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,2886,238607,1,,30.14154579,-97.84913584
2015-085967 BP,R- 329 Res Structures Other Than Bldg,New,13116 BISMARK DR,7/17/2015,Inground swimming pool & spa w/ req'd enclosure device for existing 2 story SF res,Active,538,35000,0,LOT 50 BLK F BRIDGES AT BEAR CREEK PHS 2 SEC 1,30.14155859,-97.84869301
2015-064596 BP,R- 101 Single Family Houses,New,2317 WILLISTON LOOP,6/1/2015,"New 2-story single-family residence, attached garage, covered patio. **VOL BUILD PROJECT**",Active,3120,283325,1,,30.14184125,-97.85153731
