permit,address,description,lat,lon
2007-004930 BP,904 W 30th Half St,Demo Sf Res,30.299421,-97.745907
2007-004934 BP,500 Leland St,"Demo 2x4 Framed Addition; Retain The Ca, 1940 Bungalow.",30.242239,-97.748647
2007-004936 BP,1803 Ulit Ave,Demo Sf Res,30.280338,-97.711991
2007-004938 BP,515 Pedernales St,Demo Nightclub Patio **refer to pmt # 2009-112683**,30.2584986,-97.7146359
2007-004942 BP,4210 Felter Ln,Demo Burned Warehouse,30.196251,-97.706439
2007-004994 BP,1016 E 12TH ST,demo,30.272557,-97.729476
2007-005085 BP,613 W Johanna St,Demo Sf Res,30.24577,-97.758237
2007-005087 BP,3001 E 16th St,Demo Sf Res (See 2010-017972),30.279098,-97.704678
2007-005128 BP,7608 W Sh 71,"Demo Concrete Walkway, Siding, Gables & Facia, Guardrails U& 2 Extern. Stairs",30.2408277,-97.8809392
2007-005186 BP,5202 AVENUE H,Demo Sf Res &One Metal & Wood Shed.,30.316109,-97.720197
2007-005196 BP,404 W MONROE ST,Demo Sf Res,30.249254,-97.753886
2007-005200 BP,1405 W 51ST ST,Demo Sf Res,30.32161,-97.738022
2007-005201 BP,2803 Robinson Ave,Demo Garage,30.2865113,-97.7233332
2007-005204 BP,2806 Rae Dell Ave,"Don'T Release: Still Needs As Of 2/27/2007: Letter Of Authorization From Elizabeth Becker. Demo The Back Wall Of Master Bedroom (14' 6"")",30.246688,-97.784392
2007-005206 BP,1600 S Congress Ave,"Demo A Fence, Landscaping, Planter & Ada Ramp.",30.2479243,-97.7505902
2007-005207 BP,5518 SHOALWOOD AVE,Demo Sf Res (See 2012-097936),30.331279,-97.743323
2007-005208 BP,610 W Martin Luther King Blvd,Demo A Restaurant (Bert'S Bbq).,30.282815,-97.744746
2007-005489 BP,4812 MOUNT BONNELL RD,Demo A 2-Story Structure,30.3330633,-97.7768198
2007-005492 BP,4812 MOUNT BONNELL RD,Demo Structure #4-Single Mobile Home,30.3330633,-97.7768198
2007-005498 BP,4812 MOUNT BONNELL RD,Demo Structure #3-Single Mobile Home,30.3330633,-97.7768198
2007-005500 BP,4812 Mount Bonnell Rd,Demo Structure#1-Single Mobile Home,30.3330633,-97.7768198
2007-104711 BP,1102 ENFIELD RD,Demolish house and detached garage,30.279498,-97.75201
2007-104712 BP,1102 ENFIELD RD,Demolish house and detached garage,30.279498,-97.75201
2007-104734 BP,2710 CARLTON RD,Demolition,30.309347,-97.763976
2007-105011 BP,7602 TISDALE DR,demo a ca. 1962 sf res,30.347792,-97.721564
2007-105014 BP,5507 LEMONWOOD DR,demo detached garage (See 2007-162476),30.360669,-97.785074
2007-105016 BP,1711 WETHERSFIELD RD,DEMO A DETACHED GARAGE,30.287185,-97.760847
2007-105056 BP,4530 HIGHLAND TER,Demolish den,30.323137,-97.75531
2007-105061 BP,1511 GARNER AVE,Demo ca 1959 sf res,30.254257,-97.768945
2007-105064 BP,9815 ANDERSON MILL RD,DEMO SF RES THAT IS IN THE AUSTIN ETJ,30.446412,-97.7969619
2007-105446 BP,1905 PEQUENO ST,Demolish ca. 1948 house,30.3371967,-97.7355679
2007-105449 BP,4904 BALCONES DR,Demolish ca. 1951 house,30.332381,-97.762559
2007-105452 BP,9208 GEORGIAN DR,Demo sf res,30.360006,-97.694363
2007-105456 BP,5411 MONTVIEW ST,Demolish ca. 1948 house,30.328959,-97.740836
2007-105457 BP,2908 CHERRY LN,Demo a garage at a ca. 1948 sf res,30.294495,-97.772629
2007-105461 BP,507 SABINE ST,DEMO HI-RISE OFFICE,30.2653351,-97.7360803
2007-106044 BP,5102 AVENUE H,Demo ca. 1937 2-story garage/apt.,30.315031,-97.720899
2007-106046 BP,502 CLOVER CT,"Demolish carport,and portion of primary residence: roof structure, north wall, remove siding & interior walls-interior demo to upgrade elect-plumb-and add hvac.",30.218962,-97.773511
2007-106049 BP,1207 JUSTIN LN,Demolish a ca. 1948 house.,30.339295,-97.724591
2007-106051 BP,1209 JUSTIN LN,Demolish a ca. 1947 house.,30.3393644,-97.7241049
2007-106052 BP,403 W CRESTLAND DR,Demolish a ca. 1954 house.,30.339053,-97.711146
2007-106053 BP,3110 HARRIS PARK AVE,Demo the garage *********VOIDED - Permit never pulled and paid for. No evidence of stapproved Amnesty CO in 2012..... 01/07/14 PY**********ructure on site based on Sealed Survey dated 05/12/11 sealed by Edward Rumsey PLS #5729 which included with approved Amnesty CO in 2012..... 01/07/14 PY**********,30.29276,-97.731406
2007-106277 BP,6601 WEST COURTYARD DR,demo sf res,30.358235,-97.801935
2007-106370 BP,2707 E 14TH ST,Demolish a ca. 1948 at rear sf Res,30.276817,-97.711713
2007-106372 BP,3108 E 51ST ST,Demolish a ca. 1959 sf res (aka 3108 Pecan Springs),30.296609,-97.681365
2007-107419 BP,3808 W 35TH ST UNIT 3,Demolish a ca. 1975 Tennis Pro-shop (Building only; leave slab & deck),30.313598,-97.773413
2007-107843 BP,3604 BONNIE RD,**ref permit#2010-061782**demo a converted garage,30.296161,-97.780965
2007-108135 BP,1817 W 10TH ST,Demolish a ca. 1928 SF RES,30.281285,-97.765141
2007-108638 BP,409 SWANEE DR,Demolish a ca. 1973 apartment building (5-25).,30.334784,-97.714723
2007-108639 BP,7205 BETHUNE AVE,Demolish a ca. 1950 sf Residence.,30.330307,-97.697791
2007-108642 BP,2602 E 4TH ST,Demolish a ca. 1948 sf Residence.,30.256745,-97.713818
2007-108643 BP,1312 W SLAUGHTER LN,DEMO SVC/REPAIR GARAGE,30.174286,-97.816655
2007-108644 BP,8713 BIRMINGHAM DR,Demolish to slab a ca. 1986 sf Residence.,30.179649,-97.807147
2007-108645 BP,1009 SOUTH CENTER ST,Demolish a ca. 1974 sf Residence. (See 2007-118267 for final building),30.2321652,-97.7733979
2007-108646 BP,3700 GARDEN VILLA LN,Demolish a ca. 1930 sf Residence.,30.231771,-97.772916
2007-109643 BP,10101 S 1ST ST,DEMO STRUCTURE OF UNKNOWN CONSTRUCTION DATE,30.155976,-97.799379
2007-109645 BP,3421 E CESAR CHAVEZ ST,Demolish a ca. 1948 sf Residence.,30.251446,-97.705435
2007-109651 BP,2908 BREEZE TER,Demolish a ca. 1949 sf Residence.,30.285724,-97.71913
2007-109653 BP,5603 VINE HILL DR,Demolish a ca. 1980 sf Residence.,30.172628,-97.746243
2007-109656 BP,6802 ONION CREEK DR,Demolish a ca. 1984 double wide mobile home.,30.176759,-97.747913
2007-109796 BP,1509 W 40TH ST,Demo a garage only,30.310283,-97.747089
2007-109798 BP,405 W MONROE ST,Demolish a ca. 1930 sf Residence.,30.2487916,-97.7541028
2007-110155 BP,2108 HASKELL ST,demolish single family house,30.2514163,-97.723386
2007-110620 BP,5703 JEFF DAVIS AVE,demolish single family home,30.3308901,-97.7362275
2007-110801 BP,3508 CLEARVIEW DR,demolish a single family home,30.298086,-97.7784889
2007-111432 BP,1905 W 36TH ST,demolish single family home,30.309365,-97.754885
2007-111662 BP,1003 S 3RD ST,Demolish a ca. 1938 sf Residence.,30.254279,-97.754587
2007-111736 BP,320 E 6TH ST,Demo (Selective demolition of the Bar Section and some of the interior walls) for the Interior remodel of the Ritz for Alamo Drafthouse Cinema.,30.2673341,-97.73962
2007-112433 BP,2225 E 6TH ST,DEMO 4 STRUCTURES AND EXISTING PAVEMENT,30.2599397,-97.7176497
2007-112437 BP,2819 RIO GRANDE ST,dEMO A DORMITORY,30.295003,-97.7437328
2007-112438 BP,804 W 30TH HALF ST,Demo A Shed.,30.299017,-97.745066
2007-112440 BP,803 GARNER AVE,Demo a garage only,30.259752,-97.765437
2007-112605 BP,4104 AVENUE B,Demolish an addition.,30.30611,-97.733979
2007-113414 BP,208 NUECES ST,demo a nightclub ca. 1959,30.266725,-97.750107
2007-113700 BP,300 S LAMAR BLVD,"Demolish 3 warehouses, a service station and a small office (already demolished.)",30.262799,-97.758489
2007-113704 BP,608 TERRELL HILL DR,Demolish house- porch foundation to remain per homeowner,30.236196,-97.764483
2007-114061 BP,2505 GREENLEE DR,Demo ca 1955 sf res,30.299375,-97.7646089
2007-114072 BP,1807 S 1ST ST,Demo a deck only,30.2468751,-97.7559271
2007-114074 BP,8634 OLD BEE CAVES RD,Demo sf res,30.256063,-97.890233
2007-114697 BP,2900 S CONGRESS AVE,"partial demolition of hotel, reconstruction to be retail",30.2335503,-97.7585949
2007-115099 BP,2302 E 9TH ST,Demo Single Family Home,30.264077,-97.716742
2007-115541 BP,4201 EDGEMONT DR,DEMO 1956 SF RES.,30.323008,-97.7674679
2007-115543 BP,1907 HILL OAKS CT,DEMO A CA 1954 SF RES.,30.29508,-97.770051
2007-115544 BP,217 PARK LN,DEMO CA. 1958 SF RES.,30.2488094,-97.7474182
2007-115546 BP,2216 HASKELL ST,DEMO a ca. 1945 house.,30.251115,-97.721583
2007-115548 BP,2513 PEARL ST,DEMO A CA. 1946 DUPLEX,30.2903666,-97.7465436
2007-115553 BP,1153 EASTFIELD AVE,demo a ca. 1950 SF Res.,30.276843,-97.685366
2007-115555 BP,4523 DEPEW AVE,DEMO A CA 1953 SF RES.,30.305439,-97.717703
2007-115699 BP,2505 ENFIELD RD,Demolish a ca. 1957 apartment complex (26-49).,30.2894577,-97.7701994
2007-115748 BP,1515 ENFIELD RD,demo a ca. 1935 SF res & a ca. 1935 duplex,30.282379,-97.757306
2007-115750 BP,2407 ENFIELD RD,"DEMO SF RES THAT TCAD SAYS HAS ""0"" LIVING AREA",30.2887032,-97.7690654
2007-116385 BP,4214 SPEEDWAY,Demolish a garage (hazardous structure; sits over the property line into the alley) and front porch,30.306413,-97.730219
2007-117081 BP,1610 HASKELL ST,"DEMO A 650' STRUCTURE (TCAD SAYS ""0"" LIVING AREA)",30.2537365,-97.7297962
2007-117082 BP,4805 RED BLUFF RD,Demolish a ca. 1968 mobile home,30.250593,-97.70168
2007-117083 BP,5110 WOODVIEW AVE,Demo a ca. 1951 residence,30.326157,-97.744294
2007-117084 BP,2607 E 18TH ST,demo a carport,30.2797045,-97.713446
2007-117298 BP,1204 E 7TH ST,demo 2 wood bldgs per demo plan,30.2654856,-97.7298229
2007-117307 BP,2203 TOWNES LN,Demolish a ca. 1942 sf Residence & a garage/carport.,30.296145,-97.762244
2007-117657 BP,1029 E 44TH ST,demo a ca 1940 garage (already gone),30.301677,-97.717461
2007-118162 BP,1611 W 5TH ST,Demolish a storage building (350 square feet) Structure #9,30.2738798,-97.7643891
2007-118163 BP,1611 W 5TH ST,Demolish a metal auto repair garage (6000 square feet) Structure #8,30.2738798,-97.7643891
2007-118165 BP,1611 W 5TH ST,Demolish a restaurant & awning Structure #7,30.2738798,-97.7643891
2007-118167 BP,1611 W 5TH ST,Demolish a metal shed (450 square feet) Structure #6,30.2738798,-97.7643891
2007-118168 BP,1611 W 5TH ST,Demolish a 1-story wood frame building (1050 square feet) Structure #5,30.2738798,-97.7643891
2007-118169 BP,1611 W 5TH ST,Demolish a stage (music) area (pole barn) (1500 square feet) Structure #4,30.2738798,-97.7643891
2007-118170 BP,1611 W 5TH ST,Demolish a wooden building (600 square feet) Structure #3,30.2738798,-97.7643891
2007-118171 BP,1611 W 5TH ST,Demolish a 1-story metal building (4000 square feet) Structure #2,30.2738798,-97.7643891
2007-118172 BP,1611 W 5TH ST,Demolish a 1-story wood frame building (1050 square feet) Structure #5,30.2738798,-97.7643891
2007-118174 BP,1611 W 5TH ST,Demolish a 1-story wood frame building (450 square feet) Structure #1,30.2738798,-97.7643891
2007-118406 BP,1800 RIVERVIEW ST,Demolish a carport/storage and a storage shed at a ca. 1928 SF Residence.,30.252281,-97.727936
2007-118407 BP,1710 ULIT AVE,"Demolish a ca. ? that TCAD says ""0"" living area.",30.2798786,-97.7123576
2007-118408 BP,4200 RIVERCREST DR,"demo house, carport, landscaping, brick walk, & boathouse. **refer to pmt# 2009-084782**",30.343805,-97.811294
2007-118419 BP,4111 AVENUE F,DEMO A GARAGE ONLY,30.3044544,-97.7294884
2007-118435 BP,2043 S LAMAR BLVD,DEMO Ca. 1960 office/retail (SFR) (ACTUAL # ON BLDG IS 2047),30.2483007,-97.7693827
2007-118694 BP,1504 TREADWELL ST,demo sf res,30.257325,-97.763475
2007-119397 BP,804 E 47TH ST,Demolish a ca. 1968 duplex.,30.3077993,-97.7188879
2007-119402 BP,3302 HANCOCK DR,demo a garage only,30.332695,-97.759039
2007-119404 BP,5400 SUNSHINE DR,demo a garage,30.323709,-97.731566
2007-119405 BP,1022 E 12TH ST,demo a ca. 1970 office,30.272603,-97.729185
2007-119406 BP,704 W 25TH ST,Demolish 2 duplexes; front and rear.,30.2894278,-97.7460637
2007-119408 BP,5305 AVENUE G,Demolish a ca. 1936 SF Residence & garage (leaving the small shed at the left rear),30.317519,-97.71981
2007-119409 BP,6607 WEST COURTYARD DR,Demolish a ca. 1989 SF Residence.,30.358223,-97.802826
2007-119554 BP,4707 DELORES AVE,DEMO SF RES (ALREADY GONE),30.276363,-97.686653
2007-119562 BP,1809 SINGLETON AVE,demo sf res,30.280288,-97.714864
2007-119565 BP,2304 WESTOVER RD,DEMO A CA. SF RES.,30.301792,-97.760824
2007-119898 BP,1187 HARGRAVE ST,demo sf res,30.274643,-97.707994
2007-119899 BP,1185 HARGRAVE ST,Demolish a ca. 1950 SF Residence (aka 1185 3/4 Hargrave).,30.2744191,-97.7083323
2007-120058 BP,12176 N MOPAC EXPY SB,Demolish Interior (6000 sq ft),30.3994608,-97.7311166
2007-120059 BP,206 W NORTH LOOP BLVD,demo sf res,30.318738,-97.723629
2007-120061 BP,4801 RED RIVER ST,Demolish detached garage and 80 sqft of Utility room.,30.308887,-97.716675
2007-120223 BP,311 W 41ST ST,Demolish the rear portion of a ca. 1912 SF Residence.,30.30513,-97.733733
2007-120611 BP,2500 WILSON ST,demo a garage,30.239156,-97.758331
2007-121611 BP,4204 GNARL DR,demo sf res,30.364039,-97.7674849
2007-121730 BP,1195 HARGRAVE ST,Demolish a ca. 1959 SVC/REPAIR GAR'G,30.275282,-97.707647
2007-121731 BP,5608 GROVER AVE,"Demolish a ca. ? ""0"" per TCAD",30.327718,-97.731469
2007-121733 BP,11408 OAK VIEW DR,demo sf res,30.419171,-97.768347
2007-121734 BP,2222 PEARL ST,Scope of Work: Demolish a ca. 1958 Dormitory.,30.287029,-97.746717
2007-121735 BP,1905 NUECES ST,Demolish a ca. 1955 Dormitory,30.2831263,-97.7438959
2007-121736 BP,1907 NUECES ST,Demolish a ca. 1959 Dormitory,30.2832734,-97.7440721
2007-122532 BP,2511 PEARL ST,Demolish a ca. 1954 apartment complex 5-25,30.2902312,-97.7465576
2007-122873 BP,10610 RIVER TER,demo sf res (already gone)(Demo 07-122873),30.342228,-97.881158
2007-122874 BP,1702 GOODNIGHT LN,Demolish a 12'x12' room including the slab that is damaged at a ca. 1949 SF Residence,30.335765,-97.733131
2007-122877 BP,1611 LINSCOMB AVE,demo sf res,30.260498,-97.764267
2007-122878 BP,6704 PIXIE CV,Demolish a ca. 1969 SF Residence & garage.,30.338836,-97.815084
2007-122879 BP,2300 DORIS DR,demo sf res,30.364523,-97.7278539
2007-122882 BP,2400 PEARL ST,demo office building,30.288504,-97.747032
2007-123424 BP,2106 E 14TH ST,demo a ca. 1915 sf res,30.27647,-97.717753
2007-123430 BP,6800 BURLESON RD,Demolish 2 ca. 1984 Warehouses,30.2017381,-97.7044938
2007-123431 BP,2012 RUNDELL PL,demo a driveway and garage (garage already gone),30.253664,-97.7741379
2007-123432 BP,2415 DURWOOD ST,"Demolish a ca. 2006 SF Residence, (already gone, except for slab) & a shed.",30.2402892,-97.758368
2007-123433 BP,504 PHILCO DR,Demolish carport/shed at a ca. 1958 SF Residence.,30.218127,-97.774258
2007-123434 BP,1704 BAUERLE AVE,demo sf res (See 2010-003158 for repermiting),30.25226,-97.770111
2007-123437 BP,1703 1/2 CLIFFORD AVE,Demolish a ca. 1953 SF Residence.N,30.280273,-97.707149
2007-123438 BP,401 OAK PLZ,dEMO A CA. 1945 SF RES,30.350782,-97.697652
2007-123766 BP,1204 BELMONT PKWY,DEMO SF RES,30.300899,-97.748901
2007-124573 BP,5608 JIM HOGG AVE,Demolish a ca. 19387 SF Residence.,30.329699,-97.7355608
2007-124578 BP,1514 E 12TH ST,"Demolish the roofs of 2 ca. 1922 SF Residences, and interior walls of both of the Residences.",30.273557,-97.7231539
2007-124579 BP,112 ACADEMY DR,demo a garage only,30.2520199,-97.7470902
2007-124580 BP,706 W OLTORF ST,Demolish a ca. 1948 SF Residence.,30.242918,-97.761134
2007-124585 BP,7600 WOODROW AVE,"Demolish a 24' x 79; wood building (tcad states ""0"" living area) **Voided permit, new permit issued refer to pmt 2010-107757BP**",30.3478825,-97.7239203
2007-125375 BP,2517 MC CALLUM DR,demo sf res,30.294435,-97.752382
2007-125645 BP,2515 PEARL ST,demo a ca. 1927 sf /res & garage,30.29048,-97.746244
2007-125646 BP,706 W 25TH ST,"Demolish a ca. 1955 SF Residence & garage also a ca. 1950 duplex; ONLY WENT TO HLC, NO ATTACHMENTS IN AMANDA (ALSO NO RECORDS ON CCW);",30.2894984,-97.7455602
2007-125649 BP,5407 VINE HILL DR,Demolish a ca. 1978 double wide mobile home & shed.,30.173436,-97.749048
2007-125650 BP,5511 VINE HILL DR,"Demolish a ca. 1981 double wide mobile home, pole barn, shed & driveway.",30.172799,-97.746839
2007-125655 BP,6910 ONION CROSSING DR,"Demolish a ca. 2001 mobile home 2w, w sheds, workshop/carport, driveway, sidewald & bldg on Pier-and-Beam foundation",30.1743551,-97.7498645
2007-125657 BP,7100 ONION CROSSING DR,Demolish a ca. 1979 SF Residence & concrete driveway.,30.173537,-97.750652
2007-125659 BP,6907 ONION CROSSING DR,"Demolish a ca. mobile home double wide, shed, carport, driveway, pole barn & addition on slab.",30.174729,-97.749291
2007-125662 BP,6909 ONION CROSSING DR,"Demolish a ca. mobile home double wide, 1 metal shed, 1 wood shed, decks & wood addition",30.174471,-97.7494679
2007-125668 BP,305 W 38TH ST,demo sf res (already gone),30.30129,-97.735756
2007-125674 BP,2402 E 11TH ST,"Demolish a ca. ? (tcad states ""0"" living area) **voided permit new permit issued refer to pmt 2012-047450BP**",30.266109,-97.716557
2007-125675 BP,2400 E 11TH ST,"Remove 1 ½ "" of asphalt from parking lot",30.26605,-97.716684
2007-125908 BP,2520 SPRING LN,Demolish a ca. 2006 SF Residence.,30.2993,-97.765753
2007-126297 BP,708 W 25TH ST,Demo 3-story apt bldg,30.289631,-97.7455729
2007-126302 BP,1012 W ANDERSON LN,Demolish a ca. 1986 Commercial structure.,30.3490032,-97.7157756
2007-127529 BP,11110 TOM ADAMS DR,demo a 63 bed nursing home,30.372259,-97.671299
2007-127567 BP,702 W 25TH ST,demo apt bldg,30.2895333,-97.7459328
2007-127687 BP,6201 S CONGRESS AVE,Demolish a roof at a ca.1940 warehouse.,30.199386,-97.775842
2007-127690 BP,1144 GUNTER ST,Demolish a ca. 1951 Single-Family Residence. AKA 1144-1/2 GUNTER,30.271818,-97.696094
2007-127692 BP,4602 GONZALES ST,Demolish a ca. 1946 SF Residence & Garage.,30.257105,-97.700465
2007-127693 BP,5207 VALLEY OAK DR,Demolish a 320 square feet portion of rear family room at ca. 1950 SF Residence.,30.333521,-97.756936
2007-127717 BP,4900 BARCLAY HEIGHTS CT,Demolish a ca. 1962 SF Residence.,30.27738,-97.824701
2007-127924 BP,1509 NICKERSON ST,Demolish a ca. 1921 SF Residence.,30.247833,-97.748716
2007-128313 BP,2805 W 45TH ST,Demolish a ca. 1946 SF Residence.,30.320604,-97.754219
2007-128314 BP,2202 BONITA ST,Demolish a ca. 1946 SF Residence.,30.300493,-97.760522
2007-128595 BP,2107 PAYNE AVE,Demolish a 4'x4' roof overhang at a ca. 1950 SF Residence.,30.339467,-97.73832
2007-128764 BP,2033 E 5TH ST,Demolish a ca. 1915 SF Residence.,30.259149,-97.719362
2007-128765 BP,303 W ANNIE ST,demo a ca. 1940 house,30.246618,-97.753709
2007-128932 BP,2312 E 8TH ST,Demolish 2 structures (already gone); 1 outbuilding & 1 SF Residence.,30.263608,-97.715639
2007-129456 BP,2525 E SH 71 WB,Demolish a ca. 1983/1985 3 motel buildings,30.2125213,-97.6578347
2007-129691 BP,1201 W 38TH ST,"Demolish a canopy at a Commercial structure ca.? (, Travis Central Appraisal District lists the total square feet as ""0"".).",30.3049086,-97.7456766
2007-129693 BP,7629 N IH 35 SVRD NB,"Demolish a ca. 1987 Restaurant (Partial Demolition of kitchen walls, electrical, plumbing & floor tile.",30.1824697,-97.7754312
2007-129694 BP,11604 Q RANCH RD,Demolish a ca. 1961 SF Residence.,30.4214377,-97.7568071
2007-129695 BP,11614 Q RANCH RD,Demolish a ca. 1960 SF Residence. (See 2013-016626),30.4214886,-97.7563669
